<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.11.19	1.61089	1.61320	1.60593	1.61164	39180	0	1
2013.11.20	1.61164	1.61778	1.60872	1.61018	46643	0	1
2013.11.21	1.61010	1.62020	1.60721	1.61933	45774	0	1
2013.11.22	1.61933	1.62252	1.61766	1.62212	37199	0	1
2013.11.25	1.62351	1.62401	1.61333	1.61623	31330	0	1
2013.11.26	1.61613	1.62189	1.61388	1.62107	30224	0	1
2013.11.27	1.62108	1.63302	1.61973	1.62863	37613	0	1
2013.11.28	1.62863	1.63573	1.62766	1.63363	34085	0	1
2013.11.29	1.63363	1.63841	1.63142	1.63611	41095	0	1
2013.12.02	1.63739	1.64423	1.63429	1.63500	41751	0	1
2013.12.03	1.63506	1.64365	1.63464	1.63851	37999	0	1
2013.12.04	1.63850	1.64034	1.63263	1.63785	46834	0	1
2013.12.05	1.63784	1.64034	1.63001	1.63392	47389	0	1
2013.12.06	1.63392	1.63931	1.62916	1.63454	41007	0	1
2013.12.09	1.63460	1.64322	1.63232	1.64223	34336	0	1
2013.12.10	1.64218	1.64652	1.64185	1.64460	34274	0	1
2013.12.11	1.64461	1.64573	1.63390	1.63753	36289	0	1
